20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 10
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [sync_server] deal read: 14
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 3 events
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [sync_server] deal read: 8
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 6
20:24:30 [debug]   [sync_server] deal read: 7
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [sync server] epoll listen 2 events
20:24:30 [debug]   [sync_server] deal read: 10
20:24:30 [debug]   [sync_server] deal read: 11
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 9
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [sync server] epoll listen 2 events
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [sync_server] deal read: 6
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [sync_server] deal read: 7
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [sync server] epoll listen 2 events
20:24:30 [debug]   [sync_server] deal read: 7
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 10
20:24:30 [debug]   [sync_server] deal read: 5
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [sync_server] deal read: 9
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [sync_server] deal read: 12
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 11
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 6
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [sync server] epoll listen 3 events
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 3 events
20:24:30 [debug]   [sync_server] deal read: 12
20:24:30 [debug]   [sync_server] deal read: 8
20:24:30 [debug]   [sync_server] deal read: 11
20:24:30 [debug]   [sync_server] deal read: 5
20:24:30 [debug]   [sync_server] deal read: 7
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 10
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [router] call cat
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 25
20:24:30 [debug]   [sync_server] deal read: 9
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 6
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync server] epoll listen 6 events
20:24:30 [debug]   [sync_server] deal read: 5
20:24:30 [debug]   [sync_server] deal read: 11
20:24:30 [debug]   [sync_server] deal read: 10
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 12
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [sync_server] deal read: 7
20:24:30 [debug]   [sync_server] deal read: 9
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [sync server] epoll listen 2 events
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [router] call add
20:24:30 [debug]   [connection] response flag: 1
20:24:30 [debug]   [connection] write res_len: 15
20:24:30 [debug]   [router] call cat
20:24:30 [debug]   [sync server] epoll listen 1 events
20:24:30 [debug]   [connection] response flag: 1
